image,caption
COCO_train2014_000000464928.jpg,"an opened luggage bag on the ground"
COCO_train2014_000000464928.jpg,"Suitcases filled with articles of clothing and a helmet"
COCO_train2014_000000464928.jpg,"someone is going on a trip so they are packing alot"
COCO_train2014_000000464928.jpg,"There 's some question as to whether all that will fit in the suitcase ."
COCO_train2014_000000464928.jpg,"Many clothes are packed haphazardly in a suitcase ."
COCO_train2014_000000231863.jpg,"THERE ARE CARS AND BUSES ON THE STREET"
COCO_train2014_000000231863.jpg,"A person riding a bike in the street with cars ."
COCO_train2014_000000231863.jpg,"A black and white photo of traffic driving on the road"
COCO_train2014_000000231863.jpg,"A person is riding a bicycle in city traffic ."
COCO_train2014_000000231863.jpg,"A black and white photo shows a bicyclist riding down the street ."
COCO_train2014_000000449229.jpg,"A big red train is parked on the railroad and ready to go ."
COCO_train2014_000000449229.jpg,"a diesel train with windows and a light"
COCO_train2014_000000449229.jpg,"a white yellow and red trains engine"
COCO_train2014_000000449229.jpg,"A red and yellow train parked next to some trees ."
COCO_train2014_000000449229.jpg,"The front of a red vintage locomotive engine ."
COCO_train2014_000000022145.jpg,"A white plate topped with meat , mashed potatoes and carrots ."
COCO_train2014_000000022145.jpg,"The plate contains meat , lettuce , and carrots over a leaf of cabbage ."
COCO_train2014_000000022145.jpg,"This meal has meat and vegetables on a plate ."
COCO_train2014_000000022145.jpg,"A plate with beef and potatoes sits on the table ."
COCO_train2014_000000022145.jpg,"A white plate has meat , mashed potatoes , and carrots on it ."
COCO_train2014_000000537499.jpg,"A herd of sheep walking in front of a car ."
COCO_train2014_000000537499.jpg,"A large group of sheep in a road ."
COCO_train2014_000000537499.jpg,"A black and white photo of lots of sheep ."
COCO_train2014_000000537499.jpg,"A bunch of sheep are in the middle of a road"
COCO_train2014_000000537499.jpg,"Several animals are standing on the road and blocking it ."
COCO_train2014_000000541574.jpg,"Two baseball players holding trophies while standing on the field ."
COCO_train2014_000000541574.jpg,"Two baseball players holding gloves and other items in their hands ."
COCO_train2014_000000541574.jpg,"Two baseball players are standing on the field ."
COCO_train2014_000000541574.jpg,"A couple of baseball players standing next to each other on a baseball field ."
COCO_train2014_000000541574.jpg,"Two athletes are standing in a playing field ."
COCO_train2014_000000374239.jpg,"A man cuddles a cat in a living room at Christmas time ."
COCO_train2014_000000374239.jpg,"The man cuddles and pets his favorite cat ."
COCO_train2014_000000374239.jpg,"A man is sitting on the couch holding a cat ."
COCO_train2014_000000374239.jpg,"a male in a brown shirt is holding a gray cat"
COCO_train2014_000000374239.jpg,"A man sitting on top of a couch holding a cat ."
COCO_train2014_000000464443.jpg,"A man in a robe is lounging on a couch with a dog and cat playing video games ."
COCO_train2014_000000464443.jpg,"A man playing video games in a snuggie with two pets ."
COCO_train2014_000000464443.jpg,"A person sits on a couch with a dog and a cat ."
COCO_train2014_000000464443.jpg,"A man playing a game with a cat in his lap and a dog lying beside him ."
COCO_train2014_000000464443.jpg,"A man playing video games on a couch with his dog ."
COCO_train2014_000000083987.jpg,"A bathroom with a window with white curtains next to a toilet ."
COCO_train2014_000000083987.jpg,"A bathroom has green paint and a brown window ."
COCO_train2014_000000083987.jpg,"A pretty arts and crafts style bathroom is featured ."
COCO_train2014_000000083987.jpg,"A bathroom is shown using different architectural paint elements ."
COCO_train2014_000000083987.jpg,"A bathroom featuring a toilet and a window ."
COCO_train2014_000000511774.jpg,"A group of men getting off of an airplane ."
COCO_train2014_000000511774.jpg,"President bush stepping down from air force one after a long trip ."
COCO_train2014_000000511774.jpg,"a photo of people exiting an air plane"
COCO_train2014_000000511774.jpg,"Three men walking down the stairs of the U.S. presidential plane ."
COCO_train2014_000000511774.jpg,"George W. Bush is waving as he exits Air Force One ."
COCO_train2014_000000009935.jpg,"A boy holding onto a kite string where the kite is very high ."
COCO_train2014_000000009935.jpg,"a person points up into the sky at an object"
COCO_train2014_000000009935.jpg,"A boy flying a kite high up in the sky ."
COCO_train2014_000000009935.jpg,"a person holding tight to a kite high in the sky ."
COCO_train2014_000000009935.jpg,"A boy looks up at his high-flying kite ."
COCO_train2014_000000093666.jpg,"a banana and a couple cookies in front of a package"
COCO_train2014_000000093666.jpg,"Banana sitting next to cookies and a box of chocolates ."
COCO_train2014_000000093666.jpg,"a banana next to some cookies and a package"
COCO_train2014_000000093666.jpg,"Cookies and bananas sitting on a wood table"
COCO_train2014_000000093666.jpg,"A banana , cookies , ruler , and other healthy food sitting on a plate ."
COCO_train2014_000000073843.jpg,"A commuter train on elevated track with trees and sky ."
COCO_train2014_000000073843.jpg,"A train car traveling on a bridge over water ."
COCO_train2014_000000073843.jpg,"A tram is traveling down a green track"
COCO_train2014_000000073843.jpg,"A train is on a bridge over water ."
COCO_train2014_000000073843.jpg,"A subway train passes across a bridge in a town"
COCO_train2014_000000262956.jpg,"A man riding a skateboard on a ramp ."
COCO_train2014_000000262956.jpg,"A boy skateboarding in a nice indoor skate park ."
COCO_train2014_000000262956.jpg,"A BOY IS ON A SKATE BOARD PLAYING"
COCO_train2014_000000262956.jpg,"A man on a skateboard doing a trick on a cement wall ."
COCO_train2014_000000262956.jpg,"A man on a skateboard in front of a large building ."
COCO_train2014_000000103250.jpg,"A man standing in a park looking at trees ."
COCO_train2014_000000103250.jpg,"Man standng in grassy field getting ready to throw something ."
COCO_train2014_000000103250.jpg,"A young man tossing a frisbee on a lush green park ."
COCO_train2014_000000103250.jpg,"A man plays catch outside in a field ."
COCO_train2014_000000103250.jpg,"A man holding a frisbee in a defensive stance on a field ."
COCO_train2014_000000267199.jpg,"A young man sitting in a chair while using a laptop computer ."
COCO_train2014_000000267199.jpg,"A man sitting on a chair in the backyard using a computer"
COCO_train2014_000000267199.jpg,"A man outside , sitting on his chair , while on a laptop ."
COCO_train2014_000000267199.jpg,"a person sitting in a chair on a porch with a laptop on their lap"
COCO_train2014_000000267199.jpg,"A young person sits outside with their laptop ."
COCO_train2014_000000104125.jpg,"A toy airplane is on a table with a pizza ."
COCO_train2014_000000104125.jpg,"A model airplane on a table beside a piece of pizza ."
COCO_train2014_000000104125.jpg,"a toy airplane sitting on atable next to a pizza"
COCO_train2014_000000104125.jpg,"A small toy jetliner sitting next to a pizza ."
COCO_train2014_000000104125.jpg,"A small model of the presidential airplane sits on a carpeted surface ."
COCO_train2014_000000214526.jpg,"People wait in line for lemonade and food ."
COCO_train2014_000000214526.jpg,"people in line at a food and drink stand"
COCO_train2014_000000214526.jpg,"A group of people standing around a food stand ."
COCO_train2014_000000214526.jpg,"A food stand at a street fair that has several signs indicating food served ."
COCO_train2014_000000214526.jpg,"A group of people standing around a food stand ."
COCO_train2014_000000464880.jpg,"A fire hydrant on a sidewalk in front of a brick building ."
COCO_train2014_000000464880.jpg,"A red brick building stands behind a gray fire hydrant ."
COCO_train2014_000000464880.jpg,"a photo of a fire hydrant on a sidewalk next to a road"
COCO_train2014_000000464880.jpg,"A silver fire hydrant on the sidewalk by grass"
COCO_train2014_000000464880.jpg,"a fire hydrant on a side walk on a city street"
COCO_train2014_000000546527.jpg,"A person with a hat standing with a cell phone ."
COCO_train2014_000000546527.jpg,"A Hipster holding a smart phone while wearing a Hipster hat ."
COCO_train2014_000000546527.jpg,"A man wearing a snow hat looking at his cell phone ."
COCO_train2014_000000546527.jpg,"A man in a festive toboggan hat looks at his cell phone ."
COCO_train2014_000000546527.jpg,"a man with some kind of funny hat on"
COCO_train2014_000000324032.jpg,"Home living room scene with lounge chair , sofa and coffee table ."
COCO_train2014_000000324032.jpg,"A furnished living room dinning room combination with a baby swing ."
COCO_train2014_000000324032.jpg,"a living room with a couch a chair and table"
COCO_train2014_000000324032.jpg,"A living room area with a baby seat and a couch ."
COCO_train2014_000000324032.jpg,"An open concept living room , dinette , and kitchen with a baby seat ."
COCO_train2014_000000153042.jpg,"A group of people getting off a train in the middle of no where ."
COCO_train2014_000000153042.jpg,"People walking about in front of a steam train and passenger car ."
COCO_train2014_000000153042.jpg,"a group of people walking past a small train"
COCO_train2014_000000153042.jpg,"A field with a train unloading passengers next to a mountain ."
COCO_train2014_000000153042.jpg,"Many people are standing by the small train ."
COCO_train2014_000000176213.jpg,"A train station with Ringling Bros trains nearby"
COCO_train2014_000000176213.jpg,"a train sits parked next to a side walk"
COCO_train2014_000000176213.jpg,"A circus train pulls into a train station ."
COCO_train2014_000000176213.jpg,"A long train traveling past a train station ."
COCO_train2014_000000176213.jpg,"a train resting on the tracks next to a station"
COCO_train2014_000000006631.jpg,"A giraffe standing in the middle of a forest with trees ."
COCO_train2014_000000006631.jpg,"A giraffe stands next to many types of trees ."
COCO_train2014_000000006631.jpg,"A side view of a giraffe near trees during the daytime ."
COCO_train2014_000000006631.jpg,"A Giraffe among tall trees with green leaves ."
COCO_train2014_000000006631.jpg,"A close up of a giraffe from the neck up in a wooded area ."
COCO_train2014_000000233354.jpg,"A white bathroom , tiled floor to ceiling , with a dirtier toilet ."
COCO_train2014_000000233354.jpg,"A bathroom has a tile floor and tile wall ."
COCO_train2014_000000233354.jpg,"The tile and the toilet are in need of a good cleaning ."
COCO_train2014_000000233354.jpg,"a toilet stuck in a corner with a separated tank"
COCO_train2014_000000233354.jpg,"A bathroom with a rusty toilet not fully connected ."
COCO_train2014_000000139275.jpg,"A boy brushing his teeth on camera , with a blue toothbrush ."
COCO_train2014_000000139275.jpg,"A child is brushing his teeth with a toothbrush ."
COCO_train2014_000000139275.jpg,"A child who is in the process of brushing his teeth ."
COCO_train2014_000000139275.jpg,"a close up of a child brushing his teeth"
COCO_train2014_000000139275.jpg,"A little boy is using a toothbrush to brush his teeth ."
COCO_train2014_000000453219.jpg,"Woman and man standing in formal attire posing for a picture ."
COCO_train2014_000000453219.jpg,"A man and woman are dressed up and smiling ."
